iter	Passed	Remaining
0	19	7672
1	36	7340
2	55	7302
3	70	7014
4	91	7210
5	108	7115
6	127	7151
7	148	7296
8	167	7297
9	184	7209
10	200	7081
11	221	7170
12	237	7075
13	258	7116
14	277	7118
15	295	7095
16	315	7109
17	334	7109
18	355	7132
19	370	7041
20	388	7005
21	402	6918
22	422	6921
23	441	6924
24	460	6914
25	481	6924
26	497	6866
27	517	6869
28	534	6841
29	553	6831
30	573	6820
31	588	6766
32	605	6730
33	620	6683
34	637	6645
35	653	6605
36	669	6567
37	690	6580
38	708	6561
39	725	6527
40	742	6503
41	761	6494
42	782	6497
43	798	6460
44	817	6449
45	834	6421
46	849	6382
47	869	6377
48	889	6370
49	908	6362
50	930	6364
51	949	6357
52	970	6351
53	991	6352
54	1009	6330
55	1026	6308
56	1046	6297
57	1067	6293
58	1086	6277
59	1103	6255
60	1122	6237
61	1141	6221
62	1161	6211
63	1176	6175
64	1193	6150
65	1209	6121
66	1228	6106
67	1247	6091
68	1267	6082
69	1285	6059
70	1302	6034
71	1326	6041
72	1344	6024
73	1366	6019
74	1384	5998
75	1403	5984
76	1422	5967
77	1440	5947
78	1463	5945
79	1481	5927
80	1501	5914
81	1521	5899
82	1544	5898
83	1564	5887
84	1585	5874
85	1603	5854
86	1621	5834
87	1643	5827
88	1661	5807
89	1678	5782
90	1698	5766
91	1723	5768
92	1743	5754
93	1764	5745
94	1781	5720
95	1801	5703
96	1819	5682
97	1838	5664
98	1858	5652
99	1877	5631
100	1898	5620
101	1913	5590
102	1929	5565
103	1948	5544
104	1962	5514
105	1982	5497
106	1999	5474
107	2020	5463
108	2044	5457
109	2062	5438
110	2084	5428
111	2106	5416
112	2125	5399
113	2145	5382
114	2163	5361
115	2181	5341
116	2200	5321
117	2216	5297
118	2236	5280
119	2256	5265
120	2276	5250
121	2298	5238
122	2318	5220
123	2335	5199
124	2355	5182
125	2372	5159
126	2388	5134
127	2407	5116
128	2426	5097
129	2444	5076
130	2466	5064
131	2484	5044
132	2500	5019
133	2519	5000
134	2539	4985
135	2557	4965
136	2577	4947
137	2599	4934
138	2617	4914
139	2637	4897
140	2660	4887
141	2678	4867
142	2697	4848
143	2713	4824
144	2731	4804
145	2752	4788
146	2768	4764
147	2785	4743
148	2804	4725
149	2820	4701
150	2837	4679
151	2857	4662
152	2874	4640
153	2893	4622
154	2912	4604
155	2931	4584
156	2950	4566
157	2969	4548
158	2989	4531
159	3009	4514
160	3027	4493
161	3044	4472
162	3064	4455
163	3082	4435
164	3098	4412
165	3114	4390
166	3133	4372
167	3152	4353
168	3171	4334
169	3192	4319
170	3211	4300
171	3230	4282
172	3247	4260
173	3265	4241
174	3281	4219
175	3299	4199
176	3319	4182
177	3337	4162
178	3361	4150
179	3380	4131
180	3397	4110
181	3416	4091
182	3434	4072
183	3451	4052
184	3474	4037
185	3493	4019
186	3512	4000
187	3533	3985
188	3548	3961
189	3565	3941
190	3581	3918
191	3598	3898
192	3616	3878
193	3633	3858
194	3651	3838
195	3670	3820
196	3688	3800
197	3707	3782
198	3726	3764
199	3745	3745
200	3763	3725
201	3781	3706
202	3800	3687
203	3817	3668
204	3834	3647
205	3857	3632
206	3872	3610
207	3891	3592
208	3911	3575
209	3934	3559
210	3953	3540
211	3976	3526
212	3994	3506
213	4011	3486
214	4030	3468
215	4048	3448
216	4066	3429
217	4083	3409
218	4099	3388
219	4117	3368
220	4136	3350
221	4155	3331
222	4171	3311
223	4188	3291
224	4208	3273
225	4227	3255
226	4245	3235
227	4263	3216
228	4281	3197
229	4299	3177
230	4316	3158
231	4333	3138
232	4352	3119
233	4371	3101
234	4390	3082
235	4405	3061
236	4422	3041
237	4439	3022
238	4460	3005
239	4480	2987
240	4498	2967
241	4515	2948
242	4533	2928
243	4549	2908
244	4568	2890
245	4586	2871
246	4606	2853
247	4623	2833
248	4642	2815
249	4660	2796
250	4680	2778
251	4696	2758
252	4720	2742
253	4741	2725
254	4760	2706
255	4775	2686
256	4794	2667
257	4814	2649
258	4836	2632
259	4857	2615
260	4875	2596
261	4897	2579
262	4915	2560
263	4935	2542
264	4950	2522
265	4969	2503
266	4989	2485
267	5010	2467
