cor_feature,rmse
init,0.16482101449776895
taxamount,0.16487280305226792
regionidzip_fill,0.16478525198667948
airconditioningtypeid,0.16482721574742112
regionidcounty,0.16483252708961682
numberofstories,0.16483586418318727
buildingqualitytypeid_fill,0.16483357239994562
landtaxvaluedollarcnt,0.16483773885921985
bathroomcnt,0.16482987561818918
propertycountylandusecode_fill,0.16483382758350287
pooltypeid2,0.16483909043938036
min_temp,0.16482947042732723
poolcnt,0.16484790455489154
garagetotalsqft,0.1648251682975588
rawcensustractandblock,0.16476787869195558
total_high_hours,0.16482969562454292
garagecarcnt,0.16482062621702503
finishedfloor1squarefeet,0.16482837506916698
N_zip_count,0.16483354348815138
year,0.16483816892160652
propertylandusetypeid,0.16484293924989726
regionidcity_fill,0.16483804201080385
finishedsquarefeet12,0.16485943327059815
month,0.16481374675501761
bedroomcnt,0.16483847575726096
structuretaxvaluedollarcnt,0.16483367560497675
fireplacecnt,0.16482746360288664
basementsqft,0.16482981580135178
calculatedfinishedsquarefeet,0.1648325082939086
finishedsquarefeet50,0.16482855267875482
longitude,0.16483680248217952
N_life,0.1648412262080852
N_ValueRatio,0.16490481191245066
fips,0.1648266142924958
latitude,0.16482724991679282
taxdelinquencyflag,0.16483622353045274
heatingorsystemtypeid,0.16482648238969672
calculatedbathnbr,0.16482594423802752
roomcnt,0.16482516306380718
assessmentyear,0.16483183539961385
regionidneighborhood_fill,0.16483317296774222
max_temp,0.16483108256476786
lotsizesquarefeet,0.16484655140972504
unitcnt_fill,0.16482848283607565
total_low_hours,0.16482896424307025
threequarterbathnbr,0.1648279471820849
hashottuborspa,0.16482418323016362
"('regionidzip_fill', 'rawcensustractandblock')",0.16469688980912794
"('regionidzip_fill', 'garagecarcnt')",0.1647836005820103
"('rawcensustractandblock', 'garagecarcnt')",0.16477113993516485
"('regionidzip_fill', 'rawcensustractandblock', 'garagecarcnt')",0.16468874130501585
