col_labels,corr_values
N_life,-0.011437960695966138
poolcnt,-0.008801153647560732
regionidcounty,-0.007488740981168871
propertylandusetypeid,-0.006944715803777523
airconditioningtypeid,-0.005437420034529913
latitude,-0.002994992603937854
total_low_hours,-0.0026190864725766476
taxamount,-0.002384382551568361
min_temp,-0.0020811504096522435
buildingqualitytypeid_fill,-0.0017418341077937573
pooltypeid2,-0.0015459491007980967
hashottuborspa,-0.001171575908520919
landtaxvaluedollarcnt,-0.000937081295684863
finishedsquarefeet50,0.0007937817482791047
N_zip_count,0.0014099082545426557
finishedfloor1squarefeet,0.0019205296907197516
unitcnt_fill,0.0023875976748645535
total_high_hours,0.002563187577840588
month,0.003795931704303875
rawcensustractandblock,0.004115246139845718
numberofstories,0.0049897476694889305
N_ValueRatio,0.005092065094162098
fireplacecnt,0.005105534580910058
regionidcity_fill,0.005456103919945693
propertycountylandusecode_fill,0.005564291652696341
longitude,0.005698106584972214
heatingorsystemtypeid,0.00613518290449347
regionidneighborhood_fill,0.006275669162530792
basementsqft,0.006510821339041786
max_temp,0.00721360123992199
fips,0.008253094500393946
lotsizesquarefeet,0.008432516062291987
threequarterbathnbr,0.009436214976926803
roomcnt,0.010011964435052671
garagecarcnt,0.012422396798048688
structuretaxvaluedollarcnt,0.015452917588636372
year,0.015939837101043547
assessmentyear,0.016201050460539705
regionidzip_fill,0.016246223985979105
garagetotalsqft,0.016311992255379024
taxdelinquencyflag,0.017913394890062884
bathroomcnt,0.027162410007750767
bedroomcnt,0.028798376765111773
calculatedbathnbr,0.02892084588674415
calculatedfinishedsquarefeet,0.039419288301516586
finishedsquarefeet12,0.04146449711908065
