feature,importance
N_ValueRatio,8427
N_life,10318
N_zip_count,1276
airconditioningtypeid,0
assessmentyear,31
basementsqft,0
bathroomcnt,1202
bedroomcnt,1508
buildingqualitytypeid_fill,1650
calculatedbathnbr,1676
calculatedfinishedsquarefeet,10079
finishedfloor1squarefeet,106
finishedsquarefeet12,11680
finishedsquarefeet50,220
fips,1020
fireplacecnt,0
garagecarcnt,42
garagetotalsqft,1180
hashottuborspa,521
heatingorsystemtypeid,79
landtaxvaluedollarcnt,8099
latitude,1739
longitude,1305
lotsizesquarefeet,6843
max_temp,196
min_temp,781
numberofstories,47
poolcnt,595
pooltypeid2,356
propertycountylandusecode_fill,940
propertylandusetypeid,735
rawcensustractandblock,9402
regionidcity_fill,3792
regionidcounty,518
regionidneighborhood_fill,10571
regionidzip_fill,8064
roomcnt,103
structuretaxvaluedollarcnt,10494
taxamount,9512
taxdelinquencyflag,1154
taxvaluedollarcnt,8106
threequarterbathnbr,12
total_high_hours,73
total_low_hours,500
unitcnt_fill,54
month,2693
year,1791
N_ValueRatio,8780
N_life,10391
N_zip_count,653
airconditioningtypeid,0
assessmentyear,215
basementsqft,0
bathroomcnt,1104
bedroomcnt,1170
buildingqualitytypeid_fill,1595
calculatedbathnbr,1518
calculatedfinishedsquarefeet,9727
finishedfloor1squarefeet,276
finishedsquarefeet12,9990
finishedsquarefeet50,122
fips,941
fireplacecnt,6
garagecarcnt,40
garagetotalsqft,772
hashottuborspa,394
heatingorsystemtypeid,75
landtaxvaluedollarcnt,7326
latitude,1251
longitude,1351
lotsizesquarefeet,6156
max_temp,983
min_temp,1167
numberofstories,13
poolcnt,474
pooltypeid2,259
propertycountylandusecode_fill,1185
propertylandusetypeid,492
rawcensustractandblock,7476
regionidcity_fill,3235
regionidcounty,477
regionidneighborhood_fill,8995
regionidzip_fill,7150
roomcnt,165
structuretaxvaluedollarcnt,9987
taxamount,8404
taxdelinquencyflag,692
taxvaluedollarcnt,6326
threequarterbathnbr,4
total_high_hours,333
total_low_hours,604
unitcnt_fill,9
month,2685
year,2089
N_ValueRatio,7503
N_life,9653
N_zip_count,860
airconditioningtypeid,0
assessmentyear,79
basementsqft,0
bathroomcnt,994
bedroomcnt,964
buildingqualitytypeid_fill,841
calculatedbathnbr,1440
calculatedfinishedsquarefeet,9519
finishedfloor1squarefeet,42
finishedsquarefeet12,9399
finishedsquarefeet50,28
fips,596
fireplacecnt,1
garagecarcnt,8
garagetotalsqft,298
hashottuborspa,288
heatingorsystemtypeid,160
landtaxvaluedollarcnt,6124
latitude,1067
longitude,938
lotsizesquarefeet,4723
max_temp,735
min_temp,435
numberofstories,6
poolcnt,452
pooltypeid2,140
propertycountylandusecode_fill,636
propertylandusetypeid,793
rawcensustractandblock,6993
regionidcity_fill,3060
regionidcounty,326
regionidneighborhood_fill,8316
regionidzip_fill,6561
roomcnt,110
structuretaxvaluedollarcnt,8579
taxamount,7114
taxdelinquencyflag,745
taxvaluedollarcnt,5764
threequarterbathnbr,11
total_high_hours,195
total_low_hours,269
unitcnt_fill,5
month,2465
year,886
