regionidcity_fill,total_high_hours
4406.0,5
5465.0,9
5534.0,110
6021.0,11
6285.0,8
6395.0,2
8384.0,4
9840.0,3
10241.0,21
10389.0,5
10608.0,8
10734.0,22
10774.0,6
10815.0,21
11626.0,23
12292.0,2
12447.0,3
12773.0,11
13091.0,11
13232.0,27
13311.0,8
13693.0,3
13716.0,8
14111.0,16
14542.0,18
14634.0,8
14906.0,23
15237.0,8
15554.0,9
16389.0,6
16677.0,37
16764.0,9
16961.0,6
17150.0,12
17597.0,10
17686.0,6
17882.0,7
18098.0,10
18874.0,10
18875.0,8
20008.0,36
21412.0,22
21778.0,5
22827.0,13
24245.0,28
24384.0,16
24435.0,31
24797.0,4
24812.0,9
24832.0,9
25218.0,3
25271.0,26
25458.0,11
25459.0,6
25468.0,21
25535.0,21
25621.0,34
25953.0,8
25974.0,2
26483.0,8
26531.0,12
26964.0,3
26965.0,1
27110.0,6
27183.0,13
27491.0,9
27512.0,39
29189.0,56
30187.0,16
30267.0,4
30399.0,5
30908.0,33
31134.0,3
32380.0,9
32616.0,1
32753.0,5
32923.0,32
32927.0,40
33252.0,9
33312.0,1
33727.0,3
33836.0,25
33837.0,11
33840.0,6
34636.0,16
34780.0,5
36502.0,14
37015.0,34
37086.0,8
37688.0,10
37882.0,13
38032.0,2
38980.0,13
39076.0,3
39306.0,14
39308.0,32
40009.0,2
40081.0,9
40110.0,13
40227.0,83
40633.0,94
41484.0,5
42091.0,6
42967.0,9
44116.0,3
44833.0,8
45457.0,10
45602.0,13
46080.0,14
46098.0,14
46314.0,3
47019.0,22
47547.0,32
47568.0,7
47695.0,18
47762.0,3
47913.0,2
48211.0,6
48424.0,8
50677.0,12
50749.0,22
51617.0,2
51861.0,16
52650.0,6
52835.0,9
52842.0,6
53162.0,2
53571.0,3
53636.0,6
53655.0,3
54053.0,1
54212.0,13
54299.0,13
54311.0,38
54352.0,2
54970.0,9
56780.0,12
113576.0,14
114828.0,8
114834.0,16
118217.0,15
118225.0,9
118694.0,17
118895.0,16
118994.0,1
272578.0,7
396053.0,3
396054.0,18
396551.0,17
396556.0,9
