regionidcity_fill,min_temp
3491.0,38.99
3980.0,39.98
4406.0,40.07
5465.0,38.95
5534.0,26.74
6021.0,39.19
6285.0,39.86
6395.0,40.2
6822.0,38.39
8384.0,40.12
9840.0,36.35
10241.0,39.46
10389.0,40.34
10608.0,40.26
10723.0,40.98
10734.0,33.7
10774.0,40.27
10815.0,37.34
11626.0,38.29
12292.0,40.14
12447.0,37.52
12520.0,37.99
12773.0,36.87
13091.0,34.6
13150.0,36.87
13232.0,28.35
13311.0,32.75
13693.0,37.99
13716.0,39.79
14111.0,39.07
14542.0,39.25
14634.0,39.01
14906.0,37.46
15237.0,40.25
15554.0,37.12
16389.0,34.57
16677.0,27.92
16764.0,40.43
16961.0,40.12
17150.0,39.14
17597.0,35.82
17686.0,37.1
17882.0,39.76
18098.0,33.32
18874.0,39.15
18875.0,38.27
19177.0,41.76
19202.0,17.81
20008.0,36.75
21395.0,17.36
21412.0,38.13
21778.0,40.15
22827.0,38.83
24174.0,39.92
24245.0,38.79
24384.0,37.77
24435.0,38.47
24797.0,20.11
24812.0,39.71
24832.0,39.71
25218.0,39.53
25271.0,39.28
25458.0,37.88
25459.0,38.67
25468.0,23.58
25535.0,22.19
25621.0,28.16
25953.0,39.5
25974.0,35.02
26483.0,39.76
26531.0,39.33
26964.0,41.29
26965.0,36.76
27103.0,39.75
27110.0,34.58
27183.0,38.86
27491.0,40.03
27512.0,36.43
29189.0,29.57
29712.0,41.8
30187.0,36.03
30267.0,40.3
30399.0,40.2
30908.0,36.27
31134.0,40.2
32380.0,39.41
32616.0,39.79
32753.0,40.21
32923.0,37.95
32927.0,36.96
33252.0,39.73
33311.0,39.92
33312.0,40.03
33612.0,41.39
33727.0,39.53
33836.0,37.63
33837.0,38.08
33840.0,38.91
34037.0,34.83
34278.0,35.04
34543.0,36.68
34636.0,38.23
34780.0,39.91
36078.0,14.56
36502.0,39.75
37015.0,39.61
37086.0,38.42
37688.0,36.34
37882.0,39.54
38032.0,40.35
38980.0,36.63
39076.0,40.28
39306.0,39.59
39308.0,36.59
40009.0,38.55
40081.0,39.87
40110.0,35.8
40227.0,25.93
40633.0,25.93
41484.0,40.23
41673.0,35.28
42091.0,34.2
42150.0,41.23
42967.0,39.81
44116.0,40.29
44833.0,40.0
45398.0,41.09
45457.0,36.48
45602.0,39.27
45888.0,40.72
46080.0,36.25
46098.0,38.03
46178.0,41.45
46298.0,39.75
46314.0,39.59
47019.0,35.09
47198.0,36.98
47547.0,37.65
47568.0,40.2
47695.0,38.02
47762.0,40.12
47913.0,39.82
48211.0,23.96
48424.0,39.95
50677.0,39.26
50749.0,38.62
51239.0,34.46
51617.0,40.85
51861.0,39.56
52650.0,39.61
52835.0,38.53
52842.0,37.66
53027.0,40.8
53162.0,41.22
53571.0,40.44
53636.0,40.05
53655.0,35.01
54053.0,38.37
54212.0,39.66
54299.0,36.92
54311.0,32.72
54352.0,40.13
54722.0,41.28
54970.0,39.6
55753.0,41.35
56780.0,36.38
113412.0,41.33
113576.0,39.54
114828.0,39.52
114834.0,38.24
116042.0,40.07
118217.0,39.11
118225.0,39.37
118694.0,39.43
118875.0,40.59
118878.0,40.64
118880.0,40.64
118895.0,39.59
118914.0,40.46
118994.0,40.37
272578.0,40.09
396053.0,40.41
396054.0,39.14
396550.0,37.95
396551.0,34.9
396556.0,39.67
