cor_feature,rmse
init,0.1637367666281246
rawcensustractandblock,0.163764951479853
parcelid,0.16374714597652743
threequarterbathnbr,0.1637490488735001
poolcnt,0.16377079949422757
finishedsquarefeet50,0.1637605838825552
unitcnt_fill,0.163750239507997
max_temp,0.16375225145986058
regionidneighborhood_fill,0.16374901567571926
finishedfloor1squarefeet,0.16375899932393773
propertycountylandusecode_fill,0.16374426577757187
calculatedbathnbr,0.16374947468605738
month,0.16375112842769501
hashottuborspa,0.16376484709405756
basementsqft,0.16375378138870192
regionidzip_fill,0.16369604742445035
regionidcity_fill,0.1637580037489588
bedroomcnt,0.1637592590204952
fireplacecnt,0.16375250854766443
pooltypeid2,0.1637482473291894
numberofstories,0.16375093626534548
garagetotalsqft,0.16376019350736346
regionidcounty,0.16374922055154595
longitude,0.16375439262996974
calculatedfinishedsquarefeet,0.16374447229339373
lotsizesquarefeet,0.16375701608508844
latitude,0.16374897128517418
year,0.16376479967404714
lotsizesquarefeet_refill,0.1637551111455997
taxvaluedollarcnt,0.16376518917530142
airconditioningtypeid,0.163754200076888
N_ValueRatio,0.16381044829343697
structuretaxvaluedollarcnt,0.1637566072037564
N_zip_count,0.1637584419728762
taxamount,0.1637911275996305
fips,0.16376356892310778
finishedsquarefeet12,0.163789849453852
taxdelinquencyflag,0.1637628117098
N_life,0.1637644019824346
roomcnt,0.16375182851240877
yardbuildingsqft17,0.16375416894488964
min_temp,0.16374995024300235
buildingqualitytypeid_fill,0.1637501723404718
garagecarcnt,0.16375847092223997
propertylandusetypeid,0.1637641332378939
landtaxvaluedollarcnt,0.16377029230434942
heatingorsystemtypeid,0.1637647056258394
